====================================================================================================
TABELA DE PARSING LL(1)
====================================================================================================

=== ESTATISTICAS ===
Entradas na tabela: 172
Conflitos resolvidos: 0
Conflitos irresolviveis: 0
E LL(1)? SIM

=== TABELA ===
NAO-TERMINAL                   TERMINAL             PRODUCAO                                          
----------------------------------------------------------------------------------------------------
<additiveExpr>                 '('                  <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 '-'                  <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 'False'              <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 'IDENTIFIER'         <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 'NUMBER'             <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 'STRING'             <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 'True'               <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<additiveExpr>                 '['                  <multiplicativeExpr> (('+' | '-') <multiplicativeExpr>) *
<bitwiseAndExpr>               '('                  <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               '-'                  <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               'False'              <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               'IDENTIFIER'         <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               'NUMBER'             <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               'STRING'             <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               'True'               <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseAndExpr>               '['                  <comparisonExpr> ('&' <comparisonExpr>) *         
<bitwiseOrExpr>                '('                  <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                '-'                  <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                'False'              <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                'IDENTIFIER'         <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                'NUMBER'             <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                'STRING'             <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                'True'               <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<bitwiseOrExpr>                '['                  <bitwiseAndExpr> ('|' <bitwiseAndExpr>) *         
<block>                        '('                  <statement>                                       
<block>                        '-'                  <statement>                                       
<block>                        'False'              <statement>                                       
<block>                        'IDENTIFIER'         <statement>                                       
<block>                        'NUMBER'             <statement>                                       
<block>                        'STRING'             <statement>                                       
<block>                        'True'               <statement>                                       
<block>                        '['                  <statement>                                       
<block>                        'break'              <statement>                                       
<block>                        'continue'           <statement>                                       
<block>                        'def'                <statement>                                       
<block>                        'do'                 <statement>                                       
<block>                        'for'                <statement>                                       
<block>                        'if'                 <statement>                                       
<block>                        'not'                <statement>                                       
<block>                        'while'              <statement>                                       
<block>                        '{'                  '{' <statement> * '}'                             
<breakStatement>               'break'              'break' ';' ?                                     
<comparisonExpr>               '('                  <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               '-'                  <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               'False'              <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               'IDENTIFIER'         <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               'NUMBER'             <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               'STRING'             <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               'True'               <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<comparisonExpr>               '['                  <additiveExpr> (('==' | '!=' | '<' | '>' | '<=' | '>=') <additiveExpr>) *
<continueStatement>            'continue'           'continue' ';' ?                                  
<defStatement>                 'def'                'def' 'IDENTIFIER' '(' ('IDENTIFIER' (',' 'IDENTIFIER')*) ? ')' ':' '{' <statement> * '}' ';' ?
<doWhileStatement>             'do'                 'do' ':' <block> 'while' <expression> ';' ?       
<expression>                   '('                  <logicalOrExpr> ('=' <expression>) ?              
<expression>                   '-'                  <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'False'              <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'IDENTIFIER'         <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'NUMBER'             <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'STRING'             <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'True'               <logicalOrExpr> ('=' <expression>) ?              
<expression>                   '['                  <logicalOrExpr> ('=' <expression>) ?              
<expression>                   'not'                <logicalOrExpr> ('=' <expression>) ?              
<expressionStatement>          '('                  <expression> ';' ?                                
<expressionStatement>          '-'                  <expression> ';' ?                                
<expressionStatement>          'False'              <expression> ';' ?                                
<expressionStatement>          'IDENTIFIER'         <expression> ';' ?                                
<expressionStatement>          'NUMBER'             <expression> ';' ?                                
<expressionStatement>          'STRING'             <expression> ';' ?                                
<expressionStatement>          'True'               <expression> ';' ?                                
<expressionStatement>          '['                  <expression> ';' ?                                
<expressionStatement>          'not'                <expression> ';' ?                                
<forStatement>                 'for'                'for' 'IDENTIFIER' 'in' 'range' '(' <expression> (',' <expression> (',' <expression>)?) ? ')' ':' <block>
<ifStatement>                  'if'                 'if' <expression> ':' <block> ('else' ':' <block>) ?
<logicalAndExpr>               '('                  <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               '-'                  <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'False'              <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'IDENTIFIER'         <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'NUMBER'             <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'STRING'             <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'True'               <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               '['                  <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalAndExpr>               'not'                <logicalNotExpr> ('and' <logicalNotExpr>) *       
<logicalNotExpr>               '('                  <bitwiseOrExpr>                                   
<logicalNotExpr>               '-'                  <bitwiseOrExpr>                                   
<logicalNotExpr>               'False'              <bitwiseOrExpr>                                   
