Estado,ACTION[$],ACTION['!='],ACTION['%'],ACTION['&'],ACTION['('],ACTION[')'],ACTION['*'],ACTION['**'],ACTION['+'],ACTION[','],ACTION['-'],ACTION['/'],ACTION[':'],ACTION[';'],ACTION['<'],ACTION['<='],ACTION['='],ACTION['=='],ACTION['>'],ACTION['>='],ACTION['EOF'],ACTION['False'],ACTION['IDENTIFIER'],ACTION['NUMBER'],ACTION['STRING'],ACTION['True'],ACTION['['],ACTION[']'],ACTION['and'],ACTION['break'],ACTION['continue'],ACTION['def'],ACTION['do'],ACTION['else'],ACTION['for'],ACTION['if'],ACTION['in'],ACTION['not'],ACTION['or'],ACTION['range'],ACTION['return'],ACTION['while'],ACTION['{'],ACTION['|'],ACTION['}'],GOTO[<add_op>],GOTO[<additiveExpr>],GOTO[<additive_tail>],GOTO[<argList>],GOTO[<arg_list_tail>],GOTO[<assignmentExpr>],GOTO[<assignment_tail>],GOTO[<bitwiseAndExpr>],GOTO[<bitwiseOrExpr>],GOTO[<bitwise_and_tail>],GOTO[<bitwise_or_tail>],GOTO[<block>],GOTO[<brace_block>],GOTO[<breakStatement>],GOTO[<comparisonExpr>],GOTO[<comparison_op>],GOTO[<comparison_tail>],GOTO[<continueStatement>],GOTO[<defStatement>],GOTO[<doWhileStatement>],GOTO[<expr_list_tail>],GOTO[<expression>],GOTO[<expressionList>],GOTO[<expressionStatement>],GOTO[<forStatement>],GOTO[<ifStatement>],GOTO[<logicalAndExpr>],GOTO[<logicalNotExpr>],GOTO[<logicalOrExpr>],GOTO[<logical_and_tail>],GOTO[<logical_or_tail>],GOTO[<mul_op>],GOTO[<multiplicativeExpr>],GOTO[<multiplicative_tail>],GOTO[<optional_args>],GOTO[<optional_else>],GOTO[<optional_expr_list>],GOTO[<optional_params>],GOTO[<paramList>],GOTO[<param_list_tail>],GOTO[<postfix>],GOTO[<postfixExpr>],GOTO[<postfix_list>],GOTO[<powerExpr>],GOTO[<power_tail>],GOTO[<primary>],GOTO[<program>],GOTO[<range_args>],GOTO[<range_args_tail2>],GOTO[<range_args_tail>],GOTO[<returnStatement>],GOTO[<return_body>],GOTO[<statement>],GOTO[<statement_list>],GOTO[<unaryExpr>],GOTO[<whileStatement>]
0,,,,,s26,,,,,,s3,,,,,,,,,,r3,s5,s25,s40,s27,s18,s11,,,s33,s9,s10,s21,,s14,s39,,s13,,,s19,s28,,,r3,,42,,,,6,,36,22,,,,,12,43,,,31,8,15,,30,,35,16,32,38,23,24,,,,4,,,,,,,,,34,,41,,2,37,,,,29,,17,1,20,7
1,,,,,,,,,,,,,,,,,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,r84,r84,r84,s45,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,r84,,,,,,,s46,r84,r84,,,,,,,,,,r84,,,,,r84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,48,,,,,,,,,,,,,
3,,,,,s26,,,,,,s3,,,,,,,,,,,s5,s25,s40,s27,s18,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,2,,,,,,,,,49,
4,,r68,,r68,,r68,,,s53,r68,s52,,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,r68,r68,,,,,,,,,,r68,,,,,r68,,50,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,,,,,,,r93,r93,r93,,,,,,,,,,r93,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,r39,,,,r39,,,r39,r39,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,r5,,,,,,r5,,,,,,,,,,r5,r5,r5,r5,r5,r5,r5,,,r5,r5,r5,r5,,r5,r5,,r5,,,r5,r5,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,r10,,,,,,r10,,,,,,,,,,r10,r10,r10,r10,r10,r10,r10,,,r10,r10,r10,r10,,r10,r10,,r10,,,r10,r10,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,s26,,,,,,s3,,,,,,,,,,,s5,s25,s40,s27,s18,s11,r97,,,,,,,,,,s13,,,,,,,,,42,,,,6,,36,22,,,,,,43,,,,,,,57,58,,,,38,23,24,,,,4,,,,56,,,,,34,,41,,2,,,,,,,,,20,
12,,,,,r8,,,,,,r8,,,,,,,,,,r8,r8,r8,r8,r8,r8,r8,,,r8,r8,r8,r8,,r8,r8,,r8,,,r8,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,s26,,,,,,s3,,,,,,,,,,,s5,s25,s40,s27,s18,s11,,,,,,,,,,,s13,,,,,,,,,42,,,,,,36,22,,,,,,43,,,,,,,,,,,,,59,,,,,4,,,,,,,,,34,,41,,2,,,,,,,,,20,
14,,,,,,,,,,,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,r7,,,,,,r7,,,,,,,,,,r7,r7,r7,r7,r7,r7,r7,,,r7,r7,r7,r7,,r7,r7,,r7,,,r7,r7,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r6,,,,,,r6,,,,,,,,,,r6,r6,r6,r6,r6,r6,r6,,,r6,r6,r6,r6,,r6,r6,,r6,,,r6,r6,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,s26,,,,,,s3,,,,,,,,,,r3,s5,s25,s40,s27,s18,s11,,,s33,s9,s10,s21,,s14,s39,,s13,,,s19,s28,,,r3,,42,,,,6,,36,22,,,,,12,43,,,31,8,15,,30,,35,16,32,38,23,24,,,,4,,,,,,,,,34,,41,,2,,,,,29,,17,61,20,7
18,,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,,,,,,,r92,r92,r92,,,,,,,,,,r92,,,,,r92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,s26,,,,,,s3,,,s62,,,,,,,,s5,s25,s40,s27,s18,s11,,,,,,,,,,,s13,,,,,,,,,42,,,,6,,36,22,,,,,,43,,,,,,,63,,,,,38,23,24,,,,4,,,,,,,,,34,,41,,2,,,,,,64,,,20,
20,,r79,r79,r79,,r79,r79,s66,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,r79,r79,,,,,,,,,,r79,,,,,r79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,
21,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,r50,,,,r50,,,r50,r50,,,r50,,,,,,,,,,,r50,r50,,,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
